feature_index,feature_name,importance,importance_normalized
41,feature_41,0.0021281326,0.2777806
44,feature_44,0.00034400343,0.04490203
40,feature_40,0.0002923044,0.03815387
14,feature_14,0.00026365815,0.03441473
42,feature_42,0.00024873883,0.032467347
10,feature_10,0.00020150427,0.02630192
43,feature_43,0.00017757178,0.023178063
21,feature_21,0.00016179269,0.021118453
33,feature_33,0.00014838997,0.019369025
38,feature_38,0.00014621705,0.019085398
26,feature_26,0.00014586617,0.019039597
39,feature_39,0.00013862587,0.018094536
5,feature_5,0.00013287253,0.017343566
32,feature_32,0.0001308464,0.0170791
34,feature_34,0.00012926893,0.016873196
2,feature_2,0.000119903874,0.015650796
13,feature_13,0.00011436973,0.014928435
30,feature_30,0.000114262475,0.014914435
28,feature_28,0.000113694354,0.01484028
16,feature_16,0.00011226351,0.014653514
4,feature_4,0.000112110676,0.014633566
18,feature_18,0.000111405745,0.014541552
31,feature_31,0.00011002989,0.0143619655
1,feature_1,0.00010948525,0.014290875
19,feature_19,9.8461525e-05,0.012851971
23,feature_23,9.659153e-05,0.0126078855
24,feature_24,9.551446e-05,0.012467297
37,feature_37,9.515585e-05,0.0124204885
15,feature_15,9.483208e-05,0.012378228
36,feature_36,9.4822506e-05,0.012376978
17,feature_17,9.354208e-05,0.012209848
35,feature_35,9.062646e-05,0.0118292775
11,feature_11,9.056e-05,0.011820602
0,feature_0,8.9090485e-05,0.01162879
22,feature_22,8.88146e-05,0.011592779
29,feature_29,8.831569e-05,0.0115276575
8,feature_8,8.697497e-05,0.011352656
27,feature_27,8.601295e-05,0.011227086
6,feature_6,8.5708336e-05,0.011187325
9,feature_9,8.5089785e-05,0.011106587
7,feature_7,8.225094e-05,0.010736039
3,feature_3,8.037738e-05,0.010491487
20,feature_20,7.824435e-05,0.010213068
12,feature_12,7.7275945e-05,0.010086663
25,feature_25,7.561921e-05,0.009870413
